ID,filename,band_abbrev,abbrev_type,date_format,date_parsed,mics_etc
1827f656362b7b2caa02b80a5059e507fa65c02d,gd1992-12-11d1t01.flac,gd,canonical,yyyy-mm-dd,1992-12-11 00:00:00,d1t01
9c50d68d18823bc94a9c0c12f526d2c09c99ef1c,gd80-08-31d1t01.shn,gd,canonical,yy-mm-dd,1980-08-31 00:00:00,d1t01
ff6758bd7d06d4a4de01ef878faf6f0b67246028,GD80-08-31d1t01.shn,gd,canonical,yy-mm-dd,1980-08-31 00:00:00,d1t01
7de4ea3d70d205727fe56318df8b6c814690191d,gd1980-08-31d1t001.flac,gd,canonical,yyyy-mm-dd,1980-08-31 00:00:00,d1t001
b1ec140ba277584bea872cda1bbc9873fcfec780,MS_JGB_2016-07-03_S101.flac,ms_jgb,assigned,yyyy-mm-dd,2016-07-03 00:00:00,_S101
2136ad7ea826045abb7a52bb3da9a123eccff42e,dead.and.co2016-07-03s1t01.flac,dead.and.co,assigned,yyyy-mm-dd,2016-07-03 00:00:00,s1t01
41706f5ece9bc40708c31e90ce439da390e5be44,deadco2016-07-02s1t01.flac,deadco,assigned,yyyy-mm-dd,2016-07-02 00:00:00,s1t01
f27d543f813d7272c38ba295db6cebeaf5ced97c,gd80-09-02d1t01.shn,gd,canonical,yy-mm-dd,1980-09-02 00:00:00,d1t01
2e77c30551173761e309284075021859bf2a237a,gd1980-09-03d1t01.shn,gd,canonical,yyyy-mm-dd,1980-09-03 00:00:00,d1t01
f5406a59064d16c924804da467db33546881b7fb,gd80-09-03d1t01.shn,gd,canonical,yy-mm-dd,1980-09-03 00:00:00,d1t01
cad600a6f96091a07001123ce47ad75bb5e69b63,kottke1975-08-26d1t01.flac,kottke,assigned,yyyy-mm-dd,1975-08-26 00:00:00,d1t01
54941ffbe4dfec3096ea15f94d99bc6ee2aba1dd,gd80-09-03audd1t01.flac,gd,canonical,yy-mm-dd,1980-09-03 00:00:00,audd1t01
e15ef08da4aff783614816274aca5af1ff364a17,gd80-09-03d1t01.flac,gd,canonical,yy-mm-dd,1980-09-03 00:00:00,d1t01
c7a887a44298821a6129a4f01f5e46cf04f17bc1,Think.flac,think,maybeband,otros,,
