ID,Source,Sample File Name
c8effe1d9dd5e698adc9b1b2d0d4d60a71aa7cec,LosslessLegs,gd1980-09-04d1t01.shn
c080bfaf95df3d7fc4f480054e4b868ae04f39fc,LosslessLegs,gd80-09-04d1t01.flac
c10a1d0c40a3a2defb16ded52da3762eead7f7fd,LosslessLegs,deadandco2016-07-03akg481fobset1t01.flac
ba73d861e3f6a1b5f7c3c6edef042029a14ee1f2,LosslessLegs,04 Black Magic Woman_Gypsy Queen.flac
394c877f5fa597c0bdc08b80100c22b9b447af54,LosslessLegs,jg+ms1974-11-07_48k_d1t01.flac
0140111caca68f331e53d9651a3eadf6b7b0f999,LosslessLegs,It's No Use.flac
c65476ab9a67ca73db5e0cd5d90268e466c57ed4,LosslessLegs,gd1992-12-12d1t05.shn
c3dde5d0a4d40335aed2c291d685c29ac125964c,LosslessLegs,gd1992-12-12d1tr01.flac
5178afc019031e66162eb54e11ece20b3a1d03b6,LosslessLegs,too07-25-1998(BRUNO)d1t01.shn
f704e684bd9817702d272c0d06cd118d695b0517,LosslessLegs,01 Tweezer.flac
d9c523c18a85fb059f3a29dd8cb253b78956d5e4,LosslessLegs,MS_JGB_2016-07-04_S101.flac
68abaaf69a3909b6a5ffadc3be2c235e011a7dcb,LosslessLegs,01 Without God.flac
3454198bec61024c154c47fd3791749c033ee879,LosslessLegs,03TransitAndSidinglyrics.flac
5f0fb5d15bd5007d8bf2165851b3162215466aad,LosslessLegs,jg+ms1974-11-08d1t03.shn
af33a03daefd2f5b0182e4231839ddc543169dc8,LosslessLegs,jg+ms1974-11-08-new-d2t05.shn
b8f23d305e712f032165953145b287eea4702527,LosslessLegs,gd92-12-12d1t01.flac
4c8b66dba6f72665822cf3a9d00b912d47e6d0e6,LosslessLegs,gd1992-12-13d1t01.shn
bfca9a4d4890d21e7b9633b3dee210d75acb40a9,LosslessLegs,youngbloods1972-08-05d1t01.flac
c33f5c5ee978797816d0e3feccc071cb3e77cba3,LosslessLegs,oakhurst2016-06-11t01.sbd.cm300s.cp1s.mtx.16bit.flac
