rownumber,filename,filetype,band,abbrev_type,date,date_format,mics_etc,score
697,wsp1998-07-26s1t10.flac,flac,wsp,canonical,1998-07-26 00:00:00,yyyy-mm-dd,s1t10,4
698,wsp2000-04-21s2t03.flac,flac,wsp,canonical,2000-04-21 00:00:00,yyyy-mm-dd,s2t03,4
699,wsp2000-04-24s2t02.flac,flac,wsp,canonical,2000-04-24 00:00:00,yyyy-mm-dd,s2t02,4
700,wsp2000-04-25s2t03.flac,flac,wsp,canonical,2000-04-25 00:00:00,yyyy-mm-dd,s2t03,4
703,ymsb2016-06-22_s2_t13.flac,flac,ymsb,canonical,2016-06-22 00:00:00,yyyy-mm-dd,s2_t13,4
712,wsp2016-07-15s1t.01.flac,flac,wsp,canonical,2016-07-15 00:00:00,yyyy-mm-dd,s1t.01,4
696,wsp1998-07-23s1t01.flac,flac,wsp,canonical,1998-07-23 00:00:00,yyyy-mm-dd,s1t01,4
732,wsp2016-07-06d01t08.flac,flac,wsp,canonical,2016-07-06 00:00:00,yyyy-mm-dd,d01t08,4
603,wsp2016-07-15d02t06.flac,flac,wsp,canonical,2016-07-15 00:00:00,yyyy-mm-dd,d02t06,4
751,gd1982-08-03s1t01.flac,flac,gd,canonical,1982-08-03 00:00:00,yyyy-mm-dd,s1t01,4
785,sci2016-07-23-set-1-mk401_howdy_oregon.flac,flac,sci,canonical,2016-07-23 00:00:00,yyyy-mm-dd,set-1-mk401_howdy_oregon,4
794,dmb2016-07-26t01.flac,flac,dmb,canonical,2016-07-26 00:00:00,yyyy-mm-dd,t01,4
797,mmw2016-07-22red rockstelefunken m6001.flac,flac,mmw,canonical,2016-07-22 00:00:00,yyyy-mm-dd,red rockstelefunken m6001,4
818,gd1969-12-26t01.flac,flac,gd,canonical,1969-12-26 00:00:00,yyyy-mm-dd,t01,4
727,wsp2016-07-15s1t.01.flac,flac,wsp,canonical,2016-07-15 00:00:00,yyyy-mm-dd,s1t.01,4
831,gd1972-04-26s2t05.flac,flac,gd,canonical,1972-04-26 00:00:00,yyyy-mm-dd,s2t05,4
695,wsp1998-04-28s1t01.flac,flac,wsp,canonical,1998-04-28 00:00:00,yyyy-mm-dd,s1t01,4
356,wilco2016-02-10d1t01.flac,flac,wilco,canonical,2016-02-10 00:00:00,yyyy-mm-dd,d1t01,4
193,gd1989-07-13d1t01.flac,flac,gd,canonical,1989-07-13 00:00:00,yyyy-mm-dd,d1t01,4
178,zero1993-09-23t01.aud,aud,zero,canonical,1993-09-23 00:00:00,yyyy-mm-dd,t01,4
