611150,beastie boys
595756,beatsantique
600893,beck
611569,bedouine
601334,behemoth
bc7986fac1f4725af4b966567f4bb66d7339ef8d,belafleck
aa9bfc15efab2511301e759c46368b92bda13210,belafleckandtheflecktones
602814,belinda carlisle
614105,bell
608869,belle & sebastian
612518,belle and sebastian
611425,belle game
609171,belle_sebastian
613502,bellringer
606222,ben folds
606921,ben harper
603950,benjaminbooker
608024,benjaminclementine
610780,benny green
611161,benoit
607025,berlin
613492,bermuda triangle
609870,berniemarsden
609341,bernietorme
608194,berniew
609412,"bert jansch,paul millns,nigel portman-smith"
612980,best coast
604692,beth ditto
613047,beth hart
4eef31a3849a861111d387d020ed22e7a4b25b5d,betse&clarkewiththeachinghearts
607850,bevis frond
604084,beyondgodfemme
c067acbe4d7c662723bebaed3a84eadded613394,bfeck&ccorea
f524904bdea3278e3a7b52e806d6075a600f951b,bff
603659,bg
603678,bicep
608835,biffy clyro
597738,big
608343,big audio dynamite
612750,big business
607462,big country
612927,big sam's funky nation
605760,big star
603564,big thief
605680,big.daddy.wilson
609507,bigbernie
597700,bigbraziliancheese
613216,bigfoot
9db0d76ea1d2a89dc150f750995e15448a86cf0c,bigfootyancy
595574,bigsomething
597197,bigtime
600629,bill.wyman & the.rhythm.kings
608054,bill_morrissey
613063,billkirchin
603919,billm
2313009cc079f23418498a0dc5ed55800b75da53,billposs
600989,billy joel
858e045fde7693057b6f65ea2528e0c9072ca7ff,billy martin wicked knee
596548,billy_bright
613463,billybragg
601259,billycobham
600744,billyjoel
594978,billystrings
595621,billywylder
597029,birch
597899,birdcity
613736,bit d
608580,bitchin' bajas
611918,bjbarham
600103,bjm
600162,bjoel
613593,bjthomas
596532,black
611104,black box revelation
611233,black dog
606116,black mountain
608973,black sabbath
600681,black sabbitch
612935,black top
602108,black_angels
599855,black_art_jazz_collective
608762,black_sabbath
610840,blackangels
594938,blackberry
603579,blackcrowes
600821,blacklillies
602418,blacklung
607315,blackmountain
613661,blacksabbitch
b4942546a61dac43ecc00cab5b7a77908fb5cf9c,blackuhuru
600455,blackwaters
611220,blas
607200,blasters
612637,bleachers
601491,blindboys
595499,blitzentrapper
610740,blj
601193,blondie
602703,blowbyblow
609339,blue
610531,blue collar man
608443,blue_heron_choir
604163,bluerose
597943,blues
134788,blues pills
601300,bluesp
608984,bluespills
601779,bmarsalis
601219,bmc
611053,bmm
605307,bmw
601953,bo ningen
610099,bob & carol pegg
600207,bob dylan
3e56c88bf943cf27495b844052b8ffe5fd646861,bob marley
610097,bob pegg
610096,bob pegg & nick strutt
610107,bob pegg & tim souster
606797,bob welch
137629,bob.dylan
610981,bobbykeys
607577,bobdylan
600046,bobseger
597471,boc
605987,bodylan
599214,boh_billydee
613571,bol
602528,bon iver
603904,bon jovi
609379,bonamassa
595074,bonarama
595132,bonerama
610052,bongripper
601443,bonnie raitt
a6d80bb0d7aad7c4c0eef2c5401c098a03a5edbd,bonnie_raitt
601852,bonnieraitt
134880,bookert
613741,boom tic boom
608081,bootsy
594921,borisgarcia
604570,bostonchamberms
600861,bostonpops
599955,bostonso
601698,bostonso_chamber_players
602893,bottlerockets
611354,boubacartraore_chiasso
597404,bowthayer
594926,box
607141,boyziimen
609182,bpb
135279,bradmehldauchristhile
605281,brain surgeons
603400,brandi carlile
603591,brandnew
603749,brandx
595134,branfordmarsalis
607673,brant_bjork
602677,brantbjork
610613,breeders
608423,breeders-last_splash_demos
611954,brettdennen
595533,brian
605740,brian may band
135050,brian paramount
137326,brian setzer
135434,brian wilson
b9a465075627033d3f142d5a6743a92e328be0b6,brianblade
605298,briandowney
595165,briansancesband
607136,briansetzer
137418,brianwilson
604849,british sea power
601798,brix and the extricated
613888,brixandtheextricated
613012,broken social scene
613325,broken_windows
610294,bromberg
611035,brothergrimm
135797,brotherroy
597898,brothersmccann
608185,brothersosborne
612270,brothersun
604844,browne
9f25010839cc08e070c0237eba421e79dbd5b0bc,"browne, jackson"
595364,browstein
599327,brox
605585,bru
613489,bruce cockburn
613834,bruce izod
607731,bruce springsteen
606547,bruce.cockburn
612282,bruce.sudano+hbrs
694ffd482b0e4bdef7a3e6741a3dc2cc621b6d7f,brucebartletttrio
607415,brucecockburn
608598,brucehornsby
611213,bruces
602587,brucespringsteen
608630,brutus
603386,bsojc
602739,bss
609073,bst
610382,bt-jl
594843,btalcbigband
597916,btb
604956,buckingham mcvie
608007,"buckley, jeff"
135343,buckwheat zydeco
612911,buckwheatzydeco
613014,buddy guy
603830,buddy guy wuth eric clapton
135941,buddyguy
613048,buddymillerandjimlauderdale
f5c5ce560cd03289d9975151ad94f58522fa03d5,buddywhittington
606833,budgie bierkeller
594862,budosband
135929,budwig
603334,buffalo_tom
603605,buffalotom
136091,buick
614224,bunyan
262f2fd072d8fa3f30f852ddae13e9597b1fcc04,burnett
600675,bush
610602,buster poindexter
137675,butchtrucks
608309,buzzcocks
607620,bvcombo
48b09ac80688c58c5a806a71ce32a2c13048a1b2,bvox
594873,bweir
608647,byrds
609178,bz
604200,c
612193,ca
601459,cabbage
594851,cabinet
612394,cactus
612595,cage the elephant
613893,califone
613197,californiahoneydrops
605106,camel
138734,cameroncarpenter
597241,camper
608917,camper van beethoven
600427,can
607234,candlebox
610293,canned heat
604198,cantata_singers
606802,caravan
608221,cardiacs
611902,cardinals
599542,carla bley
596399,carlanderson
601772,"carlton, larry"
608880,"carmen, eric"
613524,carney+richardson
613922,carneyballjohnson
611241,carolynwonderland
609117,carrie_rodriquez
138142,cartwrightzorndick
600512,cashdout
610799,cask strength ceilidh band
601162,casper
612726,casualties
611983,catfish & the bottlemen
597490,cats
613205,cavesingers
611632,cbb
594863,cbradley
612626,ccr
138534,cdb
605483,cdbdb
606194,cdimage
596897,cdo
603511,ce
602890,ceciltaylor
604180,celibate rifles
605088,celso pina
138379,cfj ff
613732,cgb
a8cb9c67de9346faddd3ac2d858ce9e1f295efeb,cgm
602714,chameleons
601089,chameleons vox
610573,chantal acda
608936,chanticleer
611046,charles bradley
608772,charles pasi
601615,charlesbradley
595602,charlie
600478,charlie puth
c59aa2ec2bfbd267d17c305e497d879625f0c56f,charlie_musslewhite
611480,charliedaniels
596913,charliehuntertrio
135238,charliemusselwhite
604765,charlieparr
608911,charming liars
613674,chasca
599831,cheap trick
599725,cheaptrick
610023,cheer accident
601328,cheickhamaladiabate
597579,chelsea
607235,cherry glazerr
612196,chic
604796,chic & nile rodgers
604675,chic and nile rodgers
602119,chicago transit authority
0bfa29965d97aea5c6f9cba30dcc334f88a7b186,chicagofarmer
601521,chicanobatman
da6358f31b533b6b2a561769e738d728b7256f4f,chiccorea
f503e90e068ecf0a2248741fae59827ec1f9c908,chick corea
608087,chickcorea
b5e432cb0ba5fbc6cdf3bdf2747cd1bc1f89d1d9,chickenshack
602057,child
595824,chip
609413,chip taylor
595216,chris
8134422e3faaedd87556b2d3c2103b611fe0d0eb,chris hillman and herb pedersen
607127,chris rea
598112,chris robinson brotherhood
137509,chris squire
606542,chris whitley
600561,chris_smither
609130,chrisfarlowe
613169,chrisisaak
594906,chrisrobinson
137425,christian scott
596823,christinebalfaandbalfatoujours
608877,church
604497,churchofmisery
603624,cigarettes after sex
613073,cinemechanica
605522,circle jerks
605538,circlejerks
595787,circusnine
609646,cjfish
134859,clairelynchband
138194,clan
614435,clap your hands say yeah
614062,clapton
601639,"clapton, eric"
92ed8aba5426c098a347d921dc27fb3da6709670,clarence_white
601940,clarkegilby
613285,clash
606433,clean bandit
605352,clegg
607377,cleveland orchestra
607382,cleveland_orchestra
606396,clevelandorchestra
605980,cliff_louise
603510,cliffrichard
138219,clinic
602270,clive gregson & liz simcock
604961,close lobsters
596322,coalboilers
612201,cob
602655,cobain
605578,cockburn
607610,"cockburn, bruce"
602282,coco
613199,coco montoya
596676,cody
136682,coldwarkids
614393,colin donaldson scottish dance band
613215,colinhay
135267,colinjames
596840,collier
602426,collins-sefton-sheehey
613140,colmar
610349,colour haze
611818,colourflow
600154,colter wall
613403,commandercody
614265,common kings
597059,commonkings
600963,comsat angels
594820,conbrio
603665,conor oberst
608052,conor oberts
599688,conor_oberst
596820,consciouspilot
597122,considerthesource
609174,cook
600388,cop killer
600939,copperhead
597690,cordovas
0b9bc57b8e3e6d5034277e00f9f1cb2bac7b4909,corea gadd
602847,coreagadd
595695,corey
604718,corgan
606407,cosmicdead
613129,cotw_pe
599221,country joe & electric music band
2bd0685956506d40b15151b66472905a21bc1213,countryboys
614021,court and sparks band
603632,courtney barnett & kurt vile
596505,coy
614036,cradleoffilth
611605,cranberries
611603,crash test dummies
611687,crashtestdummies
610743,crawl
594805,crb
605884,cream_psychedelic_circus
613172,credenceclearwaterrevisited
613717,creeps
607169,crippledblackphoenix
611548,crippledblackphoenixffm
597741,cris
595951,crisjacobs
134810,crobinson
612756,crosa rosa
137932,"crosby, pevar, and raymond"
136143,crosscurrents
134895,crossingmuddywaters
613069,crowded house
606739,croydon
612321,crycrycry
612327,crycrycrywks
612466,cryptical
602543,cs
ecf5f477297adcacb158a0d118051fe7afaa1d96,csn
605093,csny
599709,cspedding
611686,ctd
606239,ctr
599323,cue
610264,cult
614453,cult of luna with julie christmas
605480,cultureclub
601971,cure
608779,curtis harding
611817,curved air
613986,custardpies
595567,cville
596734,cycles
613182,cyndi lauper
600444,czukay holger
137642,d perez - j patitucci - t l carrington
609503,d-a-d
605734,da
597801,dac
607839,dacaptaintrips
601597,damian marley
603197,damianwilson
602980,damianwilsonffm
601557,damnationsday
606514,damosuzuki
611317,dan
605256,dan hicks & hot licks
610864,dan reed network
601576,danakil
609517,danbaird
605043,danbairdshomemadesin
601487,dandywarhols
595518,dangermuffin
614254,dangers of the sea
608684,danhick
606234,danhicks
603562,daniel johnston with the districts & modern baseball
134947,danielle nicole band
607518,dankojones
595978,dannyburns
609789,dantemuenchen
138432,danzer
597698,dap
536cfb9175282ea6f54a7eae878920bf530fba5c,dariusrucker
595365,dark star
613318,dark star orchestra
607243,darkbuddharising
601295,darlene love
608856,darlingside
597578,darrin
605124,daryl hall & john oates
605950,dat
612650,daughter
604658,dave & jimmie
604894,dave holland
9d0bb842d638c588825be4b2033e666fb2598295,dave holland quintet
607715,dave holland trio
607016,dave mason
600335,davealvin&friends
610884,davell crawford
613236,davemason
613869,davepirner-and-ryansmith
595532,david
613238,david byrne
603340,david grisman
611619,david johansen
604038,david lee roth
613240,david lindley
607524,david.knopfler
c55f88ff3a8c647660122a856dd028a959159f42,david_gans
138552,davidcrosby
605761,davidgrisman
596641,davidgrismansextet
595980,davidlanglois
596828,davidmccrackenandfriends
597991,davy
599589,davyknowles
611571,dawes
155b95c97142c83a183829cab8d7a0acbca5967e,day
595625,db+nf
594903,dbnf
606203,de-sf
612983,dead boys
605717,dead can dance
602181,dead cross
601001,dead kennedys
594928,deadaffect
596597,deadandco
609256,deadboys
596309,deadco
135990,deadmilkmenfix
611199,deadsoultribe
609142,deafheaven
594917,deanmonkey&thedropouts
595186,deantoniparks
609179,death angel
603483,death from above
602789,death valley girls
612744,deathvalleygirls
602887,dec
611204,dee snider
607780,dee_dee_bridgewater
610471,deeexpus
610798,deep banana blackout
600022,deep purple
599639,deeppurple
603208,deerhoof
603456,degregori
596434,dejafuze
595984,del-dawg
602213,delbertmcclinton
594973,deldawg
603790,delivery
596176,dellamae
597671,delmccoury
612266,delta deep phil collen
612782,delta rae
606421,demi lovato
602859,demos
136207,denguefever
600188,depeche mode
606319,depeche_mode
602647,depechemode
093f2e08ac78e011b65b7293da92bf65a50839fc,depedro
605647,der nino
610145,dermot kennedy
608907,desperate journalist
611712,detective
612082,detroit
613308,devil makes three
613315,devilmakesthree
595199,devonallman
606855,dfa
137036,dftm
610984,dg
595606,dgbe
595748,dgjl
601322,dgq
606497,dhakabrakha
596569,dharper
609091,dhicks mfp
609400,dhidalah
613175,dhjo
04e6eaeee8ed6269ff76ea257cf309d05f0d2bb3,dhol
600421,dianereeves
611811,dich
610028,dick gaughan
601365,dick valentine
611162,diehartjungs
605940,diet cig
612828,different_degrees
611332,digarhythmband
614161,dillon
601700,dinojr
603600,dinosaur jr
606110,dinosaur_jr
606039,dinosaurjr
613870,dio
611438,dire straits
600469,dirkschneiderhanau
612079,dirtysoundmagnet
605084,disc
594884,discobiscuits
611010,disctwotrack
607383,divine_comedy
614009,dixiedregs
596624,dizgo
595973,dj
605695,django django
595239,djr
599305,dk
f9ad50ebdc86fb5c508e55eb137f860e6419f0bb,dkcols
134865,dl+rc
600759,dl+wi
00d244942745557e0d8c4d60401a85f3d0195d24,dls
613960,dm+tr
609696,dmd
607211,dmh lsc
610321,dmo
595152,dnc
8d7e4afc8c386408829c8a92928a435062cf12c5,docw
603557,dodgy
608382,doll skin
595196,donnathebuffalo
603484,donovan
611245,doobie bros
613286,doobie brothers
600351,doobiebrothers
595553,dookie
596293,dopapod
612428,dorifreeman
613010,doris.brendel
608001,doro
609802,doroka
600239,doyle bramhall ii
610963,doylebramhallii
607607,dpu
601921,dpullen
138674,dr john
606617,dr lonnie smith
612915,dr. john
606956,dr.john
604051,dragondeer
608260,dragonsmoke
596735,dragonsmole
608841,dream syndicate
605486,dreamsyndicate
601556,dreamtheater
604056,dri
594853,driftwood
596363,drivebytruckers
596546,drivin
596539,drivinncryin
608532,drjohn
607611,drkay
596919,drpt
d819e025ccaccad666d2e6c0085765eea351d518,drums
613320,dry branch fire squad
611090,duarte-bailey-sipe
594991,dubapocalypse
601275,duff mckagan
610441,dumpstaphunk
599362,dungen
135361,dw+jl
604157,dweezil zappa
603161,dweezilzappa
605896,dwight yoakam
137042,dwight yoakam band
613337,dwightyoakam
605771,dwl
135286,dy
601589,dylan
136242,dylanbm
608924,e&b
611234,eagles
594974,earls
611454,early set
0ecd133cffda6cb68783c268e7e91264deb1258d,early show
596513,earsight
602505,earth
601361,earthless
600329,earthless_denver co
611596,earthlingsociety
610655,eastfield
134835,easyleaves
609251,eatb
596098,ebnb
599386,ec
610926,echolynprogday
613353,ecsw
609641,ed sheeran
605603,ed&jh
613875,edd
611690,eddie and the hot rods
608280,edgar broughton
600740,edgar winter band
135720,edgarmeyerchristianmcbride
599321,edgarwinter
601397,edguyffm
613340,edie brickel & the new bohemians
600205,editors
601481,edsheeran
607968,ee
600591,eekamouse
135527,eels live
610062,ef
601510,eilenjewell
603701,eisbrecherwi
603524,ej
603757,ek+tsb
604803,elastica
600206,elbow
596404,elbuho
610470,elder
135754,electricbeethoven
596264,elephantrevival
606522,eliza carthy & wayward band
596556,elizabeth
596562,elizabeth cook
595593,elizabethcook
605103,ella eyre
601664,ellen andrea wang
611428,elliottsmith
610934,elo
611019,elohim
136587,elp
595552,elten
604637,elton john
613341,elvin bishop
3f82f807b3986fe0623cec6fc96455c175602185,elvin_bishop
607043,ema
606747,ema fox
611785,embryo
611968,embryo+stromsession
599881,emily
610866,emily haines and the soft skeleton
600253,emily remler
608097,emily saliers
606559,emilybarker
596377,emisunshine
605335,emmy lou harris & spyboy
609685,emmylouharris
610956,encores
601169,endlessboogie
610403,englishbeat
607726,ensemble hesperi
602022,ensemble-ruth_lomon-tr
613044,eodm
606063,epicakã¶ln
607532,epicamuenchen
595351,eric
599446,eric clapton
612653,eric gales
137144,eric sardinas
138228,ericbachmann
603808,ericburdon
595443,erickrasno
595525,ericlindell
138324,erikjekabson
134992,ernesto bladden
610331,err
612893,es-cw
601883,esben and the witch
613473,esmz
612984,esp
614133,etatmb
7bbcebc88b9ada120cb9c84aae6173437d4907c4,ethan iverson
dc81e913ad228ffac4eea3d41169c551346809e5,etown
0ec4177211a33699d0dc2b422de4650120ddfcd7,etta_james
611937,evan_dando
608491,evanescence
601018,everclear
603326,evergreyffm
595174,everyonesdead
607454,evidence
611223,evildead
612541,evol
604510,ew
605615,exene cervenka & john doe
595776,existem
599719,eyehategod
608288,f
610356,fabfaux
602121,fairport convention
135843,fairport.convention
609144,faith no more
612401,fall
135402,fantasticnegrito
613640,far
602539,farcornerprogday
613143,fastball
611270,fastway
608715,fat freddys drop
138229,fatherjohnmisty
3894268be9dda850bd3e740127cbfecbff2184da,fats
607380,faust
613145,fc ag
609311,fear
611868,feist
603565,felice brothers
138233,felicebros
138232,felicebrothers
614154,fertilehump
596248,fhbb
609510,field music
611423,field_music
614536,fields of the nephilim
597632,fijimariners
603891,fink
600937,fionaapple
604175,fionaapple+sherylcrow
611540,firewindspeyer
603575,first aid kit
608600,fish
609514,fist
611544,fixx
601106,fjm
614229,fl
136591,fla
604199,fleet foxes
609807,fleetwood mac
138389,flips
607525,flowerkingsprogday
608473,fmacfin
609007,fmachanger
605629,fnm
603279,focus
610983,focusprogday
597356,fof
603227,foo fighters
600092,foofighters
613274,"ford, robben"
606442,forever pavot
598060,forq
614192,fortunate youth
610434,foundationoffunk
612713,foxing
135108,foxtollingdenson
600899,frampton
612461,france
603517,franck carducci band
605221,francobollo
611089,frank harrison group
136085,frankblack
596825,frankfamilyzydeco
607779,frankfurt
596360,franksolivan
601304,franz ferdinand
600287,franzferdinand
607327,free
596846,freedead
611561,freedomcallsb
596771,freekbass
610596,frequency drift
602287,front
603518,frost
595383,fruition
612608,frumpy
605410,frã¤ulein hona
fa1d220d9a3eec87f211e5c36da42eeac892a46b,ftb
5fdec010ebbda736187254cae208a571a7902a20,ftw
596884,funky
597138,funkydawgz
601048,funkymeters
9b5774c48b6688596285b3cb5d4bb2beaea37f77,fuse one - tokyo
595284,future
607637,future islands
609221,fz
605749,g&g
596922,g-grass
613599,g-lp
605229,g.mule
137363,gab
efa150a072379b10455368afe7b9a5cfab5c7c43,"gabriel, peter"
6bc6b75ee41655770de5c247fdc34806846a98eb,gabriel_ peter
606432,gabrielle aplin
610002,gael faye
137306,gaf
595049,galactic
609425,galaxie
607226,galay bustos
595608,gallatincanyon
600318,gallen
135252,gallman
611804,gang of four
610677,gang war
613132,garbage
608959,"garner, sue"
596902,garrettgospelgrass
601394,gary clark jr
597737,garybackstrom
602111,garyhoey
631662147759e5ce7e1f3ec0cb253c28447f854a,gatemouth
599710,gatewaytrio
134777,gcj
605407,geir lysne
614372,gemma ray
607510,gen
612641,generationals
612422,genesis
67ace9ced018b3eaa86463f630812bec3ea77ff4,genetics
600510,gentlemans circle
138590,georg danzer
612996,george michael
136268,georgethorogood
608731,get well soon
596551,gf
603861,gfr
596956,ggg
610510,gh_far east
604623,ghost_scorpion
596361,gibsonbrothers
596375,gid
597783,gift
0133b48cf62a48c3975f8d64653df6c683ba548f,gift_forove move me
601288,gilbyclarke
603682,gillian welch and dave rawlings
135734,gillianwelch
600626,ginblossoms
607259,girija_devi
600677,girls in hawaii
610244,girlschool
605504,glasgow
611673,glasgow_gathering_d
610168,glasgowcomascale
600382,glen campbell with victoria ghost
604981,glen hansard
613409,glenn hughes
601549,glennhughes
