ID,Sample File Name,Source
599476,tadream1980-10-20d1t01.shn,DimeaDozen
599479,1.flac,DimeaDozen
599480,01 - Pearl's Girl.flac,DimeaDozen
599482,JA_Set1_07.flac,DimeaDozen
599483,Track09.flac,DimeaDozen
599484,00 [mani neumaier].flac,DimeaDozen
599487,bd1990-10-13d1t01.flac,DimeaDozen
599490,d1t01.flac,DimeaDozen
599494,01.flac,DimeaDozen
599496,11.Fade In-Out.flac,DimeaDozen
599501,Track01.shn,DimeaDozen
599502,21 Back To Memphis.flac,DimeaDozen
599503,09 Don't Do It.flac,DimeaDozen
599504,01.flac,DimeaDozen
599505,01-Intro.flac,DimeaDozen
599506,01 intro.flac,DimeaDozen
599507,AIC_1991_10_24_NJ05.flac,DimeaDozen
599508,jaq2001-08-26t01.flac,DimeaDozen
599510,Lamb of God Phoenix (01) intro.flac,DimeaDozen
599511,01. The Star-Spangled Banner.flac,DimeaDozen
599513,09 - The Same Deep Water As You.flac,DimeaDozen
599516,Peter Br̦tzmann - 01 - Improv.flac,DimeaDozen
599518,ParkerMillsap2017-08-21t01.flac,DimeaDozen
599519,John Abercrombie - 01 - Little Booker.flac,DimeaDozen
599521,d1t01 prayer 07-03.flac,DimeaDozen
599523,ZZTop2013-05-04t01.flac,DimeaDozen
599524,01 improvisation 06-09.flac,DimeaDozen
599525,John Abercrombie - 01 - Jazz Folk.flac,DimeaDozen
599526,01 Melody Lee.flac,DimeaDozen
599528,01 Intro.flac,DimeaDozen
599529,01.flac,DimeaDozen
599530,JohnMoreland2017-08-22t01.flac,DimeaDozen
599534,ps2004-05-16t01 Trampin'.flac,DimeaDozen
599537,01 first time out 04-27.flac,DimeaDozen
599538,Me + Marie - 2017 - Haldern - soundcheck.flac,DimeaDozen
599540,Track No01.flac,DimeaDozen
599541,nico1979-05-28d1t01.flac,DimeaDozen
599542,Carla Bley - 01 - Stage Intro.flac,DimeaDozen
599543,1982-12-05 John Abercrombie03.flac,DimeaDozen
599544,01 - Hercules - Midnight Oil.flac,DimeaDozen
599545,01 Hey Joe.flac,DimeaDozen
599546,01- Canzone Contro la Paura .flac,DimeaDozen
599549,101 Hey Joe.flac,DimeaDozen
599550,304 Detroit Medley.flac,DimeaDozen
599553,PE_021678_d1_track01.shn,DimeaDozen
599555,john cale_1979_05_winston_track_02.flac,DimeaDozen
599556,01 Intro.flac,DimeaDozen
599557,john cale_1981_05_11_ann arbor_track_11.flac,DimeaDozen
599559,03 Silver Circle.flac,DimeaDozen
599560,15. Champagne Supernova.flac,DimeaDozen
599561,107 Outlaw Pete.flac,DimeaDozen
599562,01 Lay Your Hands On Me.flac,DimeaDozen
599566,001 Intro & Chat.flac,DimeaDozen
599569,EC 060417 LA 213.flac,DimeaDozen
599574,Track 01.flac,DimeaDozen
599576,artist - Track 01.flac,DimeaDozen
599579,01. Shake Dog Shake.flac,DimeaDozen
599582,01. Free Ride.flac,DimeaDozen
599583,00. Crowd.flac,DimeaDozen
599584,Michel Godard_ Track 11.mp2,DimeaDozen
599586,JessAndTheAncientOnes 2017-07-30_t01.flac,DimeaDozen
599587,LeonRussell2013-09-14t01.flac,DimeaDozen
599588,00-radiointro.flac,DimeaDozen
599589,DavyKnowles2017-04-16t01.flac,DimeaDozen
599594,01. Catherine Wheel - Intro.flac,DimeaDozen
599597,Midnight Oil   Greek Theater  LA   8-19-17  ccm4s   RX-AA-final01.flac,DimeaDozen
599601,04 Warped.flac,DimeaDozen
599602,Track01.flac,DimeaDozen
599603,Track01.flac,DimeaDozen
599606,01 Hippetyville.flac,DimeaDozen
599609,101-AudioTrack 01.flac,DimeaDozen
599610,01 - Bullroarer - Midnight Oil.flac,DimeaDozen
599624,01 Dumb Waiters.flac,DimeaDozen
599626,01-Pre-Intro - In The Army Now.flac,DimeaDozen
599629,07 Harbor Coat.flac,DimeaDozen
599631,Santana_2017-08-19_t01.flac,DimeaDozen
599632,Track 01.flac,DimeaDozen
599637,alicecooper2017-08-19tr01.flac,DimeaDozen
599638,Track 01.flac,DimeaDozen
599639,deeppurple2017-08-19tr01.flac,DimeaDozen
599641,02 Overture.flac,DimeaDozen
599643,04 The Magnificent 7.flac,DimeaDozen
599645,cd1 - Track 01.flac,DimeaDozen
599646,01 MidnightJam.1998-04-26.Copper Kettle.flac,DimeaDozen
599647,14 There's Gonna Be A Showdown.flac,DimeaDozen
599650,pj_harvey_2017-08-20_green_man_t01.flac,DimeaDozen
599653,01 dream weaver 18-20.flac,DimeaDozen
599657,01 - Announcer.shn,DimeaDozen
599661,Track11.flac,DimeaDozen
599665,Track01.flac,DimeaDozen
599666,206 Whole Lotta Love.flac,DimeaDozen
599669,01 unknown title 09-49.flac,DimeaDozen
599670,d1t01 - The Song Remains The Same.flac,DimeaDozen
599671,"Against Me 2017-03-05 Houston, TX05.flac",DimeaDozen
599673,DP_20170825 01 Revolution tease.flac,DimeaDozen
599674,13 SailinShoes-HeyJulia-SneakinSally-ThroughTheAlley.flac,DimeaDozen
599675,08 Stars.flac,DimeaDozen
599676,john cale_1984_07_01_fairfax_track_14.flac,DimeaDozen
599677,jamc01.flac,DimeaDozen
599678,mission01.flac,DimeaDozen
599679,MoaningCities 2017-07-28_t01.flac,DimeaDozen
599680,01 Say You Love Me.flac,DimeaDozen
599682,tyg01.flac,DimeaDozen
599685,01 - Pathetic.flac,DimeaDozen
599686,01 - Introduction.flac,DimeaDozen
599687,01 - Intro.flac,DimeaDozen
599688,conor_oberst_2017-08-20_green_man_t01.flac,DimeaDozen
599689,BB 01.flac,DimeaDozen
599690,307. Interview with Plant and Bonham.flac,DimeaDozen
599692,14-Shout it Out Loud.flac,DimeaDozen
599695,ps01.flac,DimeaDozen
599696,veils01.flac,DimeaDozen
599697,03. Naked in the Rain - with Guitar Solo.flac,DimeaDozen
599698,204 - Black Country Women.flac,DimeaDozen
599699,steviewonder2005-11-09-d2t10.flac,DimeaDozen
599701,Solstice 2017-08-18 t01.flac,DimeaDozen
599704,01 Intro.flac,DimeaDozen
599706,02-AudioTrack 02.flac,DimeaDozen
599707,01 - The Dead Heart - Midnight Oil.flac,DimeaDozen
599708,01intro + raise your hand.flac,DimeaDozen
599709,CSPEDDING LSC 2 2 8901.flac,DimeaDozen
599713,3 C'mon And Love Me.flac,DimeaDozen
599716,Al Green 1974-10-04 T04.flac,DimeaDozen
599717,Track01.flac,DimeaDozen
599719,EYEHATEGOD_Denver CO 2017-08-11_17_Run It Into the Ground.flac,DimeaDozen
599721,01 Ode To Joy Intro.flac,DimeaDozen
599722,srv1983-12-04-d1t01.flac,DimeaDozen
599723,wilco1997-02-01D1Track01.flac,DimeaDozen
599724,ut - 1993-08-27 - tonder - t01.flac,DimeaDozen
599725,cheaptrick2013-06-19tr01.flac,DimeaDozen
599728,01.flac,DimeaDozen
599729,01.flac,DimeaDozen
599731,01 Go Let It Out.flac,DimeaDozen
599734,artist - Track 01.flac,DimeaDozen
599739,bd1997-08-17d1t01.flac,DimeaDozen
599742,01 - Intro.flac,DimeaDozen
599744,Skinny Lister - 2017 - Gross-Gerau - announcment.flac,DimeaDozen
